"date","housing loan rate"
"Oct-2004",7.05
"Nov-2004",7.05
"Dec-2004",7.05
"Jan-2005",7.05
"Feb-2005",7.05
"Mar-2005",7.3
"Apr-2005",7.3
"May-2005",7.3
"Jun-2005",7.3
"Jul-2005",7.3
"Aug-2005",7.3
"Sep-2005",7.3
"Oct-2005",7.3
"Nov-2005",7.3
"Dec-2005",7.3
"Jan-2006",7.3
"Feb-2006",7.3
"Mar-2006",7.3
"Apr-2006",7.3
"May-2006",7.55
"Jun-2006",7.55
"Jul-2006",7.55
"Aug-2006",7.8
"Sep-2006",7.8
"Oct-2006",7.8
"Nov-2006",8.05
"Dec-2006",8.05
"Jan-2007",8.05
"Feb-2007",8.05
"Mar-2007",8.05
"Apr-2007",8.05
"May-2007",8.05
"Jun-2007",8.05
"Jul-2007",8.05
"Aug-2007",8.3
"Sep-2007",8.3
"Oct-2007",8.3
"Nov-2007",8.55
"Dec-2007",8.55
"Jan-2008",8.7
"Feb-2008",9
"Mar-2008",9.35
"Apr-2008",9.45
"May-2008",9.45
"Jun-2008",9.45
"Jul-2008",9.6
"Aug-2008",9.6
"Sep-2008",9.35
"Oct-2008",8.35
"Nov-2008",7.75
"Dec-2008",6.85
"Jan-2009",6.85
"Feb-2009",5.85
"Mar-2009",5.85
"Apr-2009",5.75
"May-2009",5.75
"Jun-2009",5.8
"Jul-2009",5.8
"Aug-2009",5.8
"Sep-2009",5.8
"Oct-2009",6.05
"Nov-2009",6.3
"Dec-2009",6.65
"Jan-2010",6.65
"Feb-2010",6.65
"Mar-2010",6.9
"Apr-2010",7.15
"May-2010",7.4
"Jun-2010",7.4
"Jul-2010",7.4
"Aug-2010",7.4
"Sep-2010",7.4
"Oct-2010",7.4
"Nov-2010",7.8
"Dec-2010",7.8
"Jan-2011",7.8
"Feb-2011",7.8
"Mar-2011",7.8
"Apr-2011",7.8
"May-2011",7.8
"Jun-2011",7.8
"Jul-2011",7.8
"Aug-2011",7.8
"Sep-2011",7.8
"Oct-2011",7.8
"Nov-2011",7.55
"Dec-2011",7.3
"Jan-2012",7.3
"Feb-2012",7.4
"Mar-2012",7.4
"Apr-2012",7.4
"May-2012",7.05
"Jun-2012",6.85
"Jul-2012",6.85
"Aug-2012",6.85
"Sep-2012",6.85
"Oct-2012",6.65
"Nov-2012",6.65
"Dec-2012",6.45
"Jan-2013",6.45
"Feb-2013",6.45
"Mar-2013",6.45
"Apr-2013",6.45
"May-2013",6.2
"Jun-2013",6.2
"Jul-2013",6.2
"Aug-2013",5.95
"Sep-2013",5.95
"Oct-2013",5.95
"Nov-2013",5.95
"Dec-2013",5.95
"Jan-2014",5.95
"Feb-2014",5.95
"Mar-2014",5.95
"Apr-2014",5.95
"May-2014",5.95
"Jun-2014",5.95
"Jul-2014",5.95
"Aug-2014",5.95
"Sep-2014",5.95
"Oct-2014",5.95
"Nov-2014",5.95
"Dec-2014",5.95
"Jan-2015",
"Feb-2015",
"Mar-2015",
"Apr-2015",
"May-2015",
"Jun-2015",
