region_id,median_mortgage,average_household_size,median_household_income,percent_female_earner,percent_no_internet,percent_unemployment,percent_public_transport,percent_born_managers
213031349,2167.0,2.7,1627.0,0.12,16.7,5.5,0.2,0.14
213031350,2068.0,2.3,1463.0,0.17,17.5,4.8,0.28,0.14
213031351,1768.0,2.4,1122.0,0.23,17.7,7.4,0.26,0.1
213031352,2184.0,2.4,1578.0,0.17,17.2,4.2,0.25,0.16
213041353,1600.0,2.7,1215.0,0.2,13.1,4.7,0.08,0.11
213041354,2000.0,3.1,1581.0,0.12,14.7,5.8,0.11,0.11
213041355,1900.0,3.3,1606.0,0.09,12.4,4.4,0.09,0.11
213041356,1452.0,2.7,1077.0,0.21,14.3,7.7,0.08,0.08
213041357,1500.0,2.7,1092.0,0.19,14.6,7.5,0.11,0.08
213041358,1625.0,2.9,1296.0,0.15,14.3,6.1,0.09,0.09
213041359,1127.0,2.7,1003.0,0.25,12.1,5.1,0.02,0.09
213041360,2156.0,3.3,1660.0,0.1,16.1,5.1,0.12,0.11
213051361,1517.0,3.0,1392.0,0.13,14.3,5.8,0.1,0.09
213051362,1484.0,2.8,1204.0,0.17,14.4,6.9,0.13,0.08
213051363,1517.0,2.7,1071.0,0.22,15.7,9.4,0.28,0.07
213051364,2200.0,3.1,1984.0,0.07,14.2,5.1,0.16,0.15
213051365,2000.0,3.1,1561.0,0.12,14.4,6.2,0.13,0.09
213051366,2000.0,3.1,1521.0,0.14,15.0,7.1,0.16,0.09
213051367,1480.0,2.7,1127.0,0.19,13.8,7.6,0.12,0.08
213051368,1590.0,2.5,1113.0,0.24,12.8,5.6,0.09,0.13
213051369,1700.0,2.9,1355.0,0.13,14.2,6.4,0.12,0.09
214011370,1600.0,2.6,1182.0,0.16,13.8,5.7,0.06,0.09
214011371,1517.0,2.2,960.0,0.21,16.5,7.0,0.1,0.09
214011372,1300.0,2.4,888.0,0.24,13.2,8.7,0.09,0.08
214011373,1800.0,2.6,1367.0,0.16,14.0,4.2,0.07,0.14
214011374,1733.0,2.8,1392.0,0.13,13.0,3.8,0.04,0.11
214011375,1550.0,2.3,1004.0,0.22,15.2,6.5,0.12,0.1
214011376,1974.0,3.0,1671.0,0.09,14.4,3.9,0.06,0.13
214021377,1560.0,2.2,904.0,0.23,11.8,5.3,0.03,0.13
214021378,1800.0,2.6,1433.0,0.11,15.0,2.5,0.03,0.22
214021379,1560.0,2.5,1008.0,0.2,12.8,5.3,0.03,0.1
214021380,1733.0,2.3,1025.0,0.22,12.8,5.0,0.04,0.12
214021381,2167.0,2.8,1693.0,0.11,12.3,3.2,0.06,0.19
214021382,1950.0,2.7,1408.0,0.12,12.4,3.3,0.04,0.15
214021383,1517.0,2.2,882.0,0.25,14.2,4.8,0.03,0.14
214021384,1500.0,2.1,747.0,0.31,14.0,6.1,0.02,0.09
214021385,1600.0,2.7,1275.0,0.16,13.3,4.2,0.03,0.12
215011386,1000.0,2.3,855.0,0.32,14.7,4.1,0.01,0.11
215011387,938.0,2.3,833.0,0.27,18.3,2.9,0.01,0.42
215011388,1192.0,2.3,934.0,0.29,14.6,3.9,0.01,0.13
215011389,1083.0,2.6,1023.0,0.24,17.6,2.9,0.01,0.34
215011390,758.0,2.3,792.0,0.34,14.6,3.1,0.0,0.29
215011391,867.0,2.3,737.0,0.35,16.8,4.6,0.0,0.27
215011392,1000.0,2.3,870.0,0.3,15.2,4.7,0.01,0.16
215011393,834.0,2.2,823.0,0.33,18.6,3.1,0.0,0.41
215011394,650.0,2.3,764.0,0.34,14.4,3.8,0.01,0.31
215021395,1300.0,2.7,1048.0,0.23,15.2,3.9,0.01,0.16
215021396,1157.0,2.6,851.0,0.29,18.9,7.1,0.01,0.16
215021397,1300.0,2.4,856.0,0.29,15.9,7.5,0.01,0.12
215021398,1000.0,2.4,893.0,0.3,12.5,4.1,0.01,0.39
215021399,1083.0,2.5,855.0,0.29,17.0,6.5,0.01,0.17
215031400,717.0,2.3,744.0,0.36,15.8,3.7,0.01,0.33
215031401,1000.0,2.3,784.0,0.31,15.2,3.6,0.01,0.33
215031402,867.0,2.2,737.0,0.37,15.6,4.6,0.0,0.14
215031403,1055.0,2.8,874.0,0.36,15.5,7.6,0.02,0.27
215031404,1300.0,2.4,884.0,0.32,15.8,4.5,0.0,0.15
215031405,975.0,2.6,875.0,0.27,13.5,4.4,0.01,0.29
216011406,1473.0,2.4,928.0,0.27,13.9,4.4,0.01,0.13
216011407,1213.0,2.4,860.0,0.29,15.5,5.1,0.0,0.18
216011408,1200.0,2.7,900.0,0.28,16.6,3.8,0.01,0.31
216011409,1101.0,2.4,903.0,0.3,13.4,3.6,0.01,0.22
216011410,953.0,2.3,771.0,0.32,15.8,4.4,0.01,0.27
216021411,1300.0,2.4,792.0,0.33,13.2,6.2,0.01,0.16
216021412,1085.0,2.5,907.0,0.27,19.4,3.6,0.01,0.3
216021413,1083.0,2.5,835.0,0.29,17.0,4.7,0.01,0.24
216021414,1387.0,2.3,804.0,0.31,12.7,4.4,0.01,0.13
216031415,1300.0,2.4,843.0,0.31,13.8,6.8,0.01,0.09
216031416,1361.0,2.5,1014.0,0.26,15.3,5.1,0.01,0.12
216031417,1400.0,2.6,984.0,0.25,13.9,6.3,0.01,0.13
216031418,1309.0,2.7,1204.0,0.21,18.3,3.3,0.01,0.25
216031419,1300.0,2.6,965.0,0.25,16.3,5.0,0.0,0.22
217011420,1000.0,2.4,869.0,0.29,13.2,4.7,0.01,0.26
217011421,1124.0,2.3,908.0,0.31,13.4,4.3,0.0,0.13
217011422,1240.0,2.3,929.0,0.26,12.6,5.0,0.01,0.09
217011423,1000.0,2.4,920.0,0.29,16.2,3.2,0.01,0.37
217021424,1083.0,2.3,816.0,0.34,14.6,3.4,0.0,0.14
217021425,1300.0,2.4,904.0,0.32,14.1,3.7,0.01,0.11
217021426,1254.0,2.6,973.0,0.26,15.2,2.7,0.01,0.31
217021427,878.0,2.4,819.0,0.32,14.3,3.2,0.01,0.3
217021428,1083.0,2.7,1051.0,0.27,12.0,2.7,0.01,0.38
217021429,1196.0,2.6,1063.0,0.27,14.2,3.5,0.0,0.38
217021430,1300.0,2.5,1031.0,0.25,14.1,3.8,0.01,0.25
217021431,1300.0,2.2,859.0,0.25,18.6,4.8,0.01,0.24
217021432,1517.0,2.5,1045.0,0.25,14.1,4.9,0.01,0.11
217021433,1430.0,2.3,1006.0,0.27,14.1,4.8,0.01,0.11
297979799,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
301011001,1900.0,2.8,1450.0,0.14,15.4,5.5,0.08,0.09
301011002,2250.0,3.1,1931.0,0.09,12.6,4.1,0.1,0.16
301011003,2000.0,2.8,1478.0,0.14,14.1,5.3,0.1,0.11
301011004,1950.0,2.7,1335.0,0.17,14.4,5.4,0.07,0.1
301011005,1820.0,2.3,1168.0,0.18,16.3,5.4,0.13,0.11
301011006,2080.0,2.9,1712.0,0.11,13.7,4.8,0.11,0.14
301021007,2000.0,2.4,1134.0,0.2,13.1,5.1,0.09,0.15
301021008,2000.0,2.6,1443.0,0.16,12.6,4.9,0.11,0.14
301021009,2200.0,2.9,1572.0,0.12,13.3,4.5,0.06,0.14
301021010,1200.0,2.1,646.0,0.26,20.0,12.4,0.07,0.11
301021011,2383.0,3.1,1975.0,0.08,15.2,3.3,0.06,0.15
301021012,2200.0,3.0,1701.0,0.1,13.1,4.4,0.08,0.14
301021013,1950.0,2.7,1229.0,0.16,13.6,6.1,0.06,0.11
301031014,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
301031015,2184.0,2.5,1374.0,0.18,14.7,5.1,0.18,0.14
301031016,2102.0,2.7,1514.0,0.15,15.6,4.4,0.12,0.13
301031017,2167.0,2.7,1813.0,0.1,15.5,5.0,0.18,0.15
301031018,2000.0,2.6,1475.0,0.13,15.8,4.6,0.13,0.1
301031019,2600.0,3.1,2272.0,0.05,14.0,3.5,0.12,0.17
301031020,2167.0,2.5,1274.0,0.21,16.6,5.8,0.17,0.12
301031021,2000.0,2.6,1307.0,0.19,14.8,5.5,0.13,0.1
302011022,1950.0,2.8,1506.0,0.13,17.6,4.2,0.17,0.09
302011023,2167.0,3.0,2187.0,0.08,12.6,3.5,0.13,0.17
302011024,2150.0,2.6,1495.0,0.16,14.1,4.1,0.2,0.13
302011025,1950.0,2.4,1349.0,0.17,15.9,4.4,0.18,0.11
302011026,2000.0,2.9,1946.0,0.08,14.7,3.2,0.15,0.14
302021027,2080.0,2.5,1362.0,0.2,15.8,4.8,0.16,0.12
302021028,2000.0,2.0,1069.0,0.23,20.6,6.9,0.22,0.09
302021029,2000.0,2.7,1488.0,0.16,16.2,4.6,0.16,0.11
302021030,1950.0,2.6,1312.0,0.2,16.2,4.8,0.18,0.11
302021031,2123.0,2.3,1511.0,0.16,17.5,3.9,0.22,0.13
302021032,2037.0,2.3,1213.0,0.22,20.1,5.8,0.21,0.1
302021033,2000.0,2.6,1368.0,0.17,17.8,5.9,0.16,0.11
302021034,2167.0,2.6,1665.0,0.17,18.2,4.0,0.18,0.14
302031035,1842.0,2.7,1364.0,0.17,16.7,5.4,0.19,0.09
302031036,0.0,3.8,583.0,0.2,0.0,0.0,0.12,0.22
302031037,950.0,2.2,1059.0,0.3,28.6,6.2,0.05,0.09
302031038,2167.0,2.4,1447.0,0.18,16.1,5.2,0.25,0.11
302031039,2000.0,2.7,1469.0,0.18,16.8,5.4,0.2,0.1
302031040,2000.0,2.0,1318.0,0.17,17.8,4.9,0.3,0.1
302041041,1950.0,2.8,1507.0,0.12,16.6,4.8,0.15,0.1
302041042,1993.0,2.5,1303.0,0.2,16.9,4.8,0.16,0.11
302041043,1820.0,2.3,1084.0,0.25,18.2,5.7,0.21,0.09
302041044,2064.0,2.4,1277.0,0.21,14.4,5.4,0.24,0.14
302041045,1950.0,2.3,1213.0,0.18,16.2,4.5,0.21,0.1
302041046,1800.0,2.3,1051.0,0.24,18.4,6.6,0.23,0.08
303011047,2400.0,2.6,1912.0,0.14,15.0,3.2,0.19,0.15
303011048,2300.0,2.5,1440.0,0.2,17.2,4.7,0.2,0.11
303011049,2000.0,2.5,1496.0,0.15,18.1,4.4,0.18,0.12
303011050,2167.0,2.4,1378.0,0.17,15.8,4.8,0.19,0.12
303011051,2069.0,2.9,1949.0,0.12,13.8,4.1,0.16,0.16
303021052,2000.0,2.3,1379.0,0.15,22.3,6.0,0.26,0.1
303021053,2150.0,2.3,1519.0,0.13,17.9,4.2,0.25,0.12
303021054,2100.0,2.5,1308.0,0.16,20.2,8.3,0.25,0.1
303021055,2000.0,2.2,1364.0,0.16,22.3,4.7,0.26,0.11
303021056,2167.0,2.6,1568.0,0.16,17.4,3.6,0.19,0.13
303021057,2167.0,2.5,1605.0,0.16,18.1,4.0,0.21,0.13
303021058,2200.0,2.3,1312.0,0.17,19.6,7.1,0.28,0.1
303021059,2167.0,2.4,1551.0,0.14,18.4,4.5,0.23,0.13
303031060,2000.0,2.9,1469.0,0.1,16.2,6.8,0.21,0.12
303031061,2058.0,3.0,1230.0,0.14,15.0,8.4,0.26,0.09
303031062,2000.0,2.9,1445.0,0.15,16.4,5.5,0.17,0.1
303031063,2167.0,2.5,1430.0,0.18,17.6,5.3,0.21,0.11
303031064,2167.0,3.1,1969.0,0.1,12.4,4.3,0.12,0.19
303031065,1950.0,2.5,1156.0,0.2,17.0,7.3,0.21,0.1
303031066,1950.0,2.8,1589.0,0.13,15.5,5.1,0.18,0.12
303041067,1733.0,2.6,1080.0,0.17,18.0,8.6,0.23,0.07
303041068,2000.0,2.3,1295.0,0.18,17.8,5.6,0.2,0.11
303041069,2100.0,2.9,1068.0,0.13,15.3,9.8,0.22,0.11
303041070,1950.0,2.6,1351.0,0.17,18.7,7.6,0.2,0.09
303041071,2167.0,2.7,1791.0,0.14,15.7,4.0,0.18,0.13
303051072,1939.0,2.7,1441.0,0.12,17.4,5.3,0.15,0.09
303051073,2000.0,3.1,1632.0,0.08,16.4,6.5,0.18,0.11
303051074,2500.0,3.1,1910.0,0.08,13.7,4.7,0.12,0.15
303051075,2167.0,3.3,1890.0,0.07,15.6,4.4,0.12,0.12
303051076,1600.0,2.6,977.0,0.24,19.2,8.9,0.14,0.07
303061077,2000.0,3.2,1598.0,0.11,14.9,5.9,0.18,0.13
303061078,1733.0,2.9,1334.0,0.11,16.6,7.3,0.23,0.08
303061079,1835.0,2.8,1081.0,0.14,17.5,9.7,0.22,0.1
303061080,1993.0,2.9,1295.0,0.13,15.9,7.8,0.19,0.1
304011081,2000.0,2.8,1815.0,0.08,14.9,5.3,0.15,0.15
304011082,1900.0,2.8,1732.0,0.09,16.2,4.8,0.16,0.13
304011083,2000.0,2.7,1669.0,0.09,17.4,5.0,0.16,0.11
304011084,2167.0,2.9,2140.0,0.07,15.1,3.9,0.17,0.16
304011085,2167.0,3.1,2257.0,0.05,13.8,3.6,0.14,0.17
304021086,2167.0,3.0,1937.0,0.06,15.2,3.9,0.15,0.14
304021087,2500.0,3.0,2534.0,0.07,11.1,3.7,0.11,0.19
304021088,2167.0,2.9,2328.0,0.05,15.0,4.2,0.18,0.16
304021089,2600.0,3.2,2690.0,0.04,11.7,3.0,0.13,0.19
304021090,2040.0,2.8,1906.0,0.09,15.4,4.6,0.18,0.14
304021091,2600.0,3.1,2569.0,0.07,12.4,3.9,0.09,0.21
